major,minor,minor_train_accuracy,minor_test_accuracy
24,16,0.6751433251433251,0.7556811202554968
24,18,0.6644144144144144,0.7495393686279327
24,20,0.6589271089271089,0.7414322564795479
26,0,0.7400900900900901,0.796462351062523
26,2,0.7307125307125307,0.7894607542070998
26,4,0.7192465192465193,0.7836875076771895
26,6,0.7107289107289108,0.7788969414076895
26,8,0.7022932022932022,0.7728780248126765
26,10,0.6937755937755937,0.7680874585431765
26,12,0.6842751842751843,0.7597346763296893
26,14,0.6711711711711712,0.7599803463947918
26,16,0.6622440622440623,0.7491708635302788
26,18,0.6552825552825553,0.7392212258936248
26,20,0.6414823914823915,0.7168652499692912
28,0,0.72002457002457,0.7846701879375998
28,2,0.7129402129402129,0.7785284363100357
28,4,0.7042997542997543,0.7696843139663432
28,6,0.6930384930384931,0.7653850878270483
28,8,0.6841932841932842,0.7521189043115096
28,10,0.675962325962326,0.7480653482373173
28,12,0.6668714168714168,0.7367645252425992
28,14,0.658026208026208,0.7347991647217786
28,16,0.6471744471744472,0.7257093723129837
28,18,0.6420966420966421,0.711092003439381
28,20,0.6317362817362817,0.7010195307701756
30,0,0.7000819000819001,0.776931580886869
30,2,0.6927108927108927,0.7678417884780739
30,4,0.6826781326781327,0.7610858616877534
30,6,0.6771498771498772,0.7601031814273431
30,8,0.6678542178542178,0.7478196781722147
30,10,0.6628992628992629,0.7393440609261761
30,12,0.6507780507780507,0.7307456086475863
30,14,0.6461916461916462,0.7225156614666502
30,16,0.6365274365274365,0.720673135978381
30,18,0.6281326781326781,0.7118290136346886
30,20,0.6266175266175266,0.7031077263235475
32,0,0.6798935298935299,0.7543299348974327
32,2,0.6736281736281736,0.7492936985628301
32,4,0.6651924651924652,0.7421692666748557
32,6,0.6572891072891073,0.7333251443311632
32,8,0.647010647010647,0.7265692175408427
32,10,0.6441850941850942,0.719813290750522
32,12,0.6344389844389844,0.7176022601645989
32,14,0.6329238329238329,0.7031077263235475
32,16,0.6227682227682227,0.6910698931335216
32,18,0.6174037674037675,0.6741186586414445
32,20,0.6092547092547093,0.6780493796830857
