,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
0,adult,fnlwgt,0,34,58,6,1,9,-1,0.02941176470588236,0.029411764705882353,5.0,5.666666666666667,18,122,0.14754098360655737
1,adult,fnlwgt,1,41,67,7,1,8,-1,0.02439024390243903,0.02439024390243902,4.5,5.125,15,142,0.1056338028169014
2,adult,fnlwgt,2,37,66,6,1,7,-1,0.027027027027027032,0.027027027027027032,5.0,5.111111111111111,17,136,0.125
3,adult,fnlwgt,3,34,56,6,1,11,-1,0.029411764705882353,0.02941176470588235,4.5,4.75,22,122,0.18032786885245902
4,adult,fnlwgt,4,39,67,7,1,5,-1,0.02564102564102564,0.02564102564102564,4.5,5.0,24,136,0.17647058823529413
5,adult,fnlwgt,5,44,63,8,1,9,-1,0.022727272727272724,0.022727272727272724,3.5,4.333333333333333,23,130,0.17692307692307693
6,adult,fnlwgt,6,43,66,7,1,13,-1,0.023255813953488372,0.02325581395348837,5.0,5.0,28,136,0.20588235294117646
7,adult,fnlwgt,7,30,47,6,1,5,-1,0.03333333333333333,0.03333333333333333,3.5,4.333333333333333,15,96,0.15625
8,adult,fnlwgt,8,43,65,6,1,10,-1,0.02325581395348838,0.023255813953488372,4.5,6.375,19,134,0.1417910447761194
9,adult,fnlwgt,9,40,66,6,1,2,-1,0.025000000000000005,0.025,4.5,4.875,29,136,0.21323529411764705
10,adult,fnlwgt,10,33,60,5,1,1,-1,0.030303030303030304,0.030303030303030304,5.0,5.285714285714286,19,128,0.1484375
11,adult,fnlwgt,11,43,64,8,1,8,-1,0.023255813953488372,0.023255813953488372,4.0,4.285714285714286,23,134,0.17164179104477612
12,adult,fnlwgt,12,36,60,6,1,7,-1,0.027777777777777776,0.027777777777777783,5.0,5.25,20,126,0.15873015873015872
13,adult,fnlwgt,13,35,63,5,1,9,-1,0.02857142857142857,0.02857142857142857,5.0,6.0,20,130,0.15384615384615385
